"schema_name","table_name"
"imp_kfm_ul_old","LIQUIDleaderInfo"
"imp_kfm_ul_old","LIQUIDztFaces"
"imp_kfm_ul_old","LiquidationInfo"
"imp_kfm_ul_old","REORGActualStat"
"imp_kfm_ul_old","REORGAuthCapital"
"imp_kfm_ul_old","REORGLiquidationInfo"
"imp_kfm_ul_old","REORGactivities"
"imp_kfm_ul_old","REORGactivitiesACT"
"imp_kfm_ul_old","REORGaddress"
"imp_kfm_ul_old","REORGclassificationInfo"
"imp_kfm_ul_old","REORGfoundersFl"
"imp_kfm_ul_old","REORGfoundersInfo"
"imp_kfm_ul_old","REORGfoundersUl"
"imp_kfm_ul_old","REORGheadOrgInfo"
"imp_kfm_ul_old","REORGhistoryActivities"
"imp_kfm_ul_old","REORGhistoryActivitiesACT"
"imp_kfm_ul_old","REORGhistoryActualStat"
"imp_kfm_ul_old","REORGhistoryAddress"
"imp_kfm_ul_old","REORGhistoryAuthCapital"
"imp_kfm_ul_old","REORGhistoryClassificationInfo"
"imp_kfm_ul_old","REORGhistoryFoundersFl"
"imp_kfm_ul_old","REORGhistoryFoundersInfo"
"imp_kfm_ul_old","REORGhistoryFoundersUl"
"imp_kfm_ul_old","REORGhistoryHeadOrgInfo"
"imp_kfm_ul_old","REORGhistoryIdentificationAddInfo"
"imp_kfm_ul_old","REORGhistoryLeaderInfo"
"imp_kfm_ul_old","REORGhistoryLiquidationInfo"
"imp_kfm_ul_old","REORGidentificationAddInfo"
"imp_kfm_ul_old","REORGidentificationInfo"
"imp_kfm_ul_old","REORGleaderInfo"
"imp_kfm_ul_old","REORGztFaces"
"imp_kfm_ul_old","activities"
"imp_kfm_ul_old","activitiesACT"
"imp_kfm_ul_old","address"
"imp_kfm_ul_old","classificationInfo"
"imp_kfm_ul_old","foundersFl"
"imp_kfm_ul_old","foundersInfo"
"imp_kfm_ul_old","foundersUl"
"imp_kfm_ul_old","headOrgInfo"
"imp_kfm_ul_old","historyActivities"
"imp_kfm_ul_old","historyActivitiesACT"
"imp_kfm_ul_old","historyActualStat"
"imp_kfm_ul_old","historyAddress"
"imp_kfm_ul_old","historyAuthCapital"
"imp_kfm_ul_old","historyClassificationInfo"
"imp_kfm_ul_old","historyFoundersFl"
"imp_kfm_ul_old","historyFoundersInfo"
"imp_kfm_ul_old","historyFoundersUl"
"imp_kfm_ul_old","historyHeadOrgInfo"
"imp_kfm_ul_old","historyIdentificationAddInfo"
"imp_kfm_ul_old","historyLeaderInfo"
"imp_kfm_ul_old","historyLiquidationInfo"
"imp_kfm_ul_old","identificationAddInfo"
"imp_kfm_ul_old","identificationInfo"
"imp_kfm_ul_old","leaderInfo"
"imp_kfm_ul_old","mv_reg_address_ul"
"imp_kfm_ul_old","mv_ul"
"imp_kfm_ul_old","mv_ul_dir_founder"
"imp_kfm_ul_old","mv_ul_founder_fl"
"imp_kfm_ul_old","mv_ul_founder_ul"
"imp_kfm_ul_old","mv_ul_leader"
"imp_kfm_ul_old","mv_ul_short_new"
"imp_kfm_ul_old","ztFaces"
"imp_mfca_ul","companies"
"imp_mfca_ul","directors"
"imp_mfca_ul","founders"
"imp_notary","accountant_list"
"imp_notary","advocate_list"
"imp_notary","auditors_list"
"imp_notary","bailiff_list"
"imp_risk","bankrot"
"imp_risk","beneficiaries_list"
"imp_risk","block_esf"
"imp_risk","commodity_producers"
"imp_risk","convicts_abroad"
"imp_risk","convicts_justified"
"imp_risk","convicts_justified_update"
"imp_risk","convicts_terminated_by_rehab"
"imp_risk","convicts_terminated_by_rehab_update"
"imp_risk","criminals"
"imp_risk","criminals_update"
"imp_risk","disciplinary_misconduct"
"imp_risk","dismissal"
"imp_risk","dormant"
"imp_risk","drug_addicts_pfr"
"imp_risk","erdr216"
"imp_risk","incapacitated"
"imp_risk","kuis"
"imp_risk","mz"
"imp_risk","nds"
"imp_risk","omn"
"imp_risk","opg"
"imp_risk","orphans"
"imp_risk","sudispol"
"imp_risk","verification_filed"
"imp_rn","ct1281"
"imp_rn","ct159"
"imp_rn","ct182"
"imp_rn","ct190"
"imp_rn","ct191"
"imp_rn","ct242"
"imp_rn","ct308"
"imp_rn","ct310"
"imp_rn","ct719"
"imp_rn","rn_reg_address"
"imp_tax","mv_tax_by_bin_new"
"imp_tax","mv_tax_by_bin_update"
"imp_tax","tax_out"
"imp_tax_out","d_budget_classification_code"
"imp_tax_out","d_government_revenue_authority"
"imp_tax_out","d_tax_payment_type"
"imp_tax_out","d_tax_posting_type"
"imp_tax_out","d_tax_type"
"imp_tax_out","taxes_out"
"imp_zags","change_fio_old"
"imp_zags","fl_birth"
"imp_zags","fl_relatives"
"imp_zags","zags_adoption_02_23"
"imp_zags","zags_birth_03_23"
"imp_zags","zags_changefio_02_23"
"imp_zags","zags_marriage_02_03"
"imp_zags","zags_parenthood_02_23"
"import_fl","list_individual_entrepreneur"
"import_fl","list_peasant_economy"
"import_fl","non_residents"
"import_fl","photo"
"import_fl","photo_temp"
"import_fl","registration_temp"
"initial_data","pension"
"public","bolashak"
"public","company_turnover"
"public","company_turnover_year"
"public","ft_list1"
"public","ft_list1_photo"
"public","ft_list2"
"public","ft_list2_photo"
"public","school"
"public","study"
"public","supp_blacklist"
"sur","isxod"
"sur","pokazateli"
"transport","electro_car"
"transport","постановка"
"transport","снятые"
